Token	POS-Tag	Sentence
Em	ADP	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
falta	NOUN	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
de	ADP	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
pundonor	NOUN	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
e	CCONJ	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
de	ADP	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
vergonha	NOUN	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
,	PUNCT	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
que	PRON	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
a	DET	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
escravidão	NOUN	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
não	ADV	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
comporta	VERB	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
,	PUNCT	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
o	DET	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
escravo	NOUN	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
tem	VERB	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
o	DET	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
rancor	NOUN	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
e	CCONJ	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
o	DET	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
desejo	NOUN	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
da	DET	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
vingança	NOUN	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
.	PUNCT	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
Nas	DET	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
pontas	NOUN	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
do	DET	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
açoite	NOUN	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
está	AUX	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
o	DET	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
emblema	NOUN	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
do	DET	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
rancor	NOUN	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
do	DET	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
escravo	NOUN	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
:	PUNCT	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
às	DET	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
vezes	NOUN	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
há	VERB	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
nas	DET	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
pontas	NOUN	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
do	DET	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
açoite	NOUN	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
marcas	NOUN	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
de	ADP	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
sangue	NOUN	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
.	PUNCT	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
