Token	Sentença
[CLS]	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
Em	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
falta	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
de	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
pun	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
##don	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
##or	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
e	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
de	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
ver	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
##gonha	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
,	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
que	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
a	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
escravidão	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
não	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
comporta	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
,	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
o	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
escravo	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
tem	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
o	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
ranc	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
##or	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
e	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
o	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
desejo	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
da	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
vingança	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
.	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
[SEP]	Em falta de pundonor e de vergonha, que a escravidão não comporta, o escravo tem o rancor e o desejo da vingança.
[CLS]	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
Nas	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
pontas	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
do	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
aço	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
##ite	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
está	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
o	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
emble	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
##ma	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
do	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
ranc	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
##or	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
do	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
escravo	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
:	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
às	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
vezes	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
há	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
nas	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
pontas	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
do	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
aço	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
##ite	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
marcas	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
de	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
sangue	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
.	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
[SEP]	Nas pontas do açoite está o emblema do rancor do escravo: às vezes há nas pontas do açoite marcas de sangue.
